,branch_district,Branch,CalendarDate,branch_day_new_loans,branch_day_emps,branch_day_workingdays,branch_day_LPE,District,LPE,Group,Golive,PrePost,Post,Group_num
2929,888.0,2105,2025-09-16,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
2930,888.0,2105,2025-09-17,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Post,1,0
2931,888.0,2105,2025-09-18,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Post,1,0
2932,888.0,2105,2025-09-19,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Post,1,0
2933,888.0,2105,2025-09-22,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Post,1,0
2934,888.0,2107,2025-09-10,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2935,888.0,2107,2025-09-11,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
2936,888.0,2107,2025-09-12,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2937,888.0,2107,2025-09-15,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
2938,888.0,2107,2025-09-16,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2939,888.0,2107,2025-09-17,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Post,1,0
2940,888.0,2107,2025-09-18,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Post,1,0
2941,888.0,2107,2025-09-19,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Post,1,0
2942,888.0,2107,2025-09-22,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Post,1,0
2943,888.0,2108,2025-09-10,1,2.0,1,0.5,888.0,0.5,Control,2025-09-17,Pre,0,0
2944,888.0,2108,2025-09-11,0,2.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2945,888.0,2108,2025-09-12,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Pre,0,0
2946,888.0,2108,2025-09-15,0,2.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2947,888.0,2108,2025-09-16,4,2.0,1,2.0,888.0,2.0,Control,2025-09-17,Pre,0,0
2948,888.0,2108,2025-09-17,1,2.0,1,0.5,888.0,0.5,Control,2025-09-17,Post,1,0
